gra_year;title;distributor;producer;gra_winner
2007;I Know Who Killed Me;TriStar Pictures;David Grace, Frank Mancuso Jr.;WINNER
2007;Bratz;Lionsgate;Avi Arad, Isaac Larian, Steven Paul;
2007;Daddy Day Camp;TriStar Pictures, Revolution Studios;William Sherak, Jason Shuman;
2007;I Now Pronounce You Chuck & Larry;Universal Studios;Adam Sandler, Tom Shadyac;
2007;Norbit;DreamWorks;John Davis, Eddie Murphy, Michael Tollin;
2008;The Love Guru;Paramount Pictures;Gary Barber, Michael DeLuca, Mike Myers;WINNER
2008;Disaster Movie and Meet the Spartans;Lionsgate, 20th Century Fox;Jason Friedberg, Peter Safran, Aaron Seltzer;
2008;The Happening;20th Century Fox;Barry Mendel, Sam Mercer, M. Night Shyamalan;
2008;The Hottie & the Nottie;Regent Releasing;Hadeel Reda;
2008;In the Name of the King;Boll KG, Brightlight Pictures;Uwe Boll, Dan Clarke, Wolfgang Herrold, Shawn Williamson;
2009;Transformers: Revenge of the Fallen;Paramount, DreamWorks, Hasbro;Lorenzo di Bonaventura, Ian Bryce, Tom DeSanto, Don Murphy;WINNER
2009;All About Steve;20th Century Fox;Sandra Bullock. Mary McLaglen;
2009;G.I. Joe: The Rise of Cobra;Paramount Pictures, Hasbro;Lorenzo di Bonaventura, Bob Ducsay, Brian Goldner;
2009;Land of the Lost;Universal Studios;Sid and Marty Krofft, Jimmy Miller;
2009;Old Dogs;Walt Disney Pictures;Peter Abrams, Robert Levy, Andrew Panay;
2010;The Last Airbender;Paramount Pictures, Nickelodeon Movies;Frank Marshall, Kathleen Kennedy, Sam Mercer and M. Night Shyamalan;WINNER
2010;The Bounty Hunter;Columbia Pictures;Neal H. Moritz;
2010;Sex and the City 2;New Line Cinema, HBO Films, Village Roadshow Pictures;Michael Patrick King, John Melfi, Sarah Jessica Parker and Darren Star;
